mag_x,mag_y,mag_z,mag_h,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
14.25,20.0625,-39.8125,46.803864,1.9074796,2.044792,9.577045,0.06174975,-0.4897394,0.104335785
20.1875,24.75,-32.875,45.835175,1.2109488,1.90453,9.8983,-0.8123286,1.1338532,-0.23315853
17.1875,27.875,-31.6875,45.568886,-0.25533682,1.2092538,9.824463,-0.9794788,0.87088436,0.32684782
14.1875,23.6875,-36.375,45.66753,-0.78715605,0.46376646,9.435577,-0.79848814,-0.29384363,-0.031939525
17.3125,22.0625,-36.0625,45.683483,-0.91311026,0.25999114,9.119141,0.26616272,-0.76761323,0.1820553
18.375,17.375,-38.3125,45.906197,-0.5613541,0.5082986,9.671358,-0.25445154,0.044715334,0.5919459
14.9375,13.9375,-41.625,46.368343,-0.6119005,0.65198904,9.145554,0.1213702,-0.21293017,0.7708072
15.375,10.0625,-42.875,46.646652,1.283838,1.6966941,8.804715,0.31939524,-0.28106782,0.17673203
9.875,8.9375,-44.8125,46.749916,1.2875441,0.59381944,11.201982,0.65476024,0.28745574,-0.9816081
9.1875,7.5625,-45.3125,46.84895,-0.21473116,-0.66616267,8.847006,0.37795106,-0.34707618,-1.5139335
5.0,9.0,-46.375,47.504112,-0.32853234,0.036602553,8.517056,0.40456733,-0.07984881,-1.1956029
6.75,10.4375,-46.0,47.649803,-0.26247156,0.58625376,9.386679,0.22996458,-0.6302733,-1.2328657
8.0,16.125,-44.0,47.539623,-1.2935107,-1.2000409,10.148179,0.19163716,0.28745574,-1.2488354
-1.375,16.8125,-44.4375,47.531487,-1.1720958,-0.8659923,8.682113,-0.20547761,0.79316485,-2.3145509
-5.5,11.0625,-46.0,47.630127,-0.9260198,1.3774608,8.695712,0.105400436,-0.17034413,-2.3496845
-3.9375,7.6875,-46.6875,47.479725,-0.8602463,-1.3123003,10.960167,0.73780304,-0.015969763,-1.2765163
