mag_x,mag_y,mag_z,mag_h,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,degree
13.4375,-12.0625,-44.6875,48.197956,0.16169481,0.011769895,11.714206,-1.140241,1.1381117,-0.09581858,-130.53629
13.4375,-12.3125,-44.375,47.971916,0.009979033,1.2239926,7.5600367,0.1948311,-0.22783528,-0.134146,-110.57079
14.375,-15.4375,-42.875,47.78308,0.35873762,1.9453272,10.107899,0.07559021,-0.3162013,-0.14905111,-114.27002
13.4375,-15.5625,-43.0625,47.719353,1.2303803,-0.05827487,11.058722,-0.47376963,0.4375715,0.1277581,-131.05392
13.5,-14.625,-43.1875,47.553135,0.32957622,0.6912922,8.288199,-0.1298874,-0.08836602,-0.33642966,-125.96964
13.9375,-16.9375,-41.875,47.272068,0.11005666,0.9190766,8.612929,0.04045673,0.03832743,0.11391764,-130.6338
11.625,-13.75,-43.625,47.194744,0.29443893,1.0450691,10.802562,-0.5067738,0.33110642,0.63772583,-126.61708
9.0625,-13.4375,-44.375,47.24231,-0.0063206926,-0.6266775,10.979119,-0.23635249,-0.044715334,0.27467993,-150.45685
11.625,-12.6875,-43.9375,47.187046,0.108055115,0.32453883,7.523099,-0.08304276,-0.15863298,0.010646508,-131.36201
14.0625,-14.8125,-42.375,47.04046,-0.5687857,0.62252116,11.959804,-0.08304276,0.17140879,0.17460273,-136.22638
14.375,-14.625,-42.1875,46.90753,0.36140954,-1.1507586,10.281507,-0.20760691,0.15011577,-0.17886133,-140.41156
15.5625,-15.125,-41.375,46.720955,-0.42415676,0.7064619,7.407861,0.07559021,-0.1884432,0.20334831,-130.01244
14.375,-13.25,-42.25,46.5539,-0.6826539,-0.06350381,11.645253,-0.27787387,0.17886133,0.42373103,-138.62357
13.8125,-13.1875,-42.5,46.593403,-0.9688089,-0.28960264,9.646411,0.06174975,-0.1863139,0.035133477,-146.75198
14.875,-14.25,-41.625,46.443176,-0.28608796,1.0889596,7.465916,0.37369245,-0.10965904,-0.28958502,-121.14658
16.75,-9.1875,-41.9375,46.083908,-0.29813555,0.73593926,12.59374,0.18524924,0.28319713,-0.17673203,-113.05214
15.9375,-9.1875,-41.8125,45.680405,-0.9736548,0.017152062,8.732612,-0.07665486,-0.15118042,-0.10114183,-129.08754
